"","date","Total.Tested","positive","Recovered","deaths","hospitalized","new.hospital","ICU","Admit","RMCC6.Hospitalized","RMCC6.ICU","RMCC6.Admit","RMCC6.Leave","negative","Percent.Pos","discharged","never_hospitalized","New.Positive","New.Negative","New.Percent.Positive","Week.Positivity.Rate","Total.Daily.Tests","Still.Sick","Percent.Hospitalized","New.Deaths","Bremer.Positive","Butler.P","BlackHawk.P","Bremer.Recovered","Butler.R","BlackHawk.R","Bremer.Death","Butler.D","BlackHawk.D","Bremer.SS","Butler.SS","BlackHawk.SS","Knights.Positive","Knights.Isolation","Kights.Quarantine","TotalTested2","TotalPositive2","TotalRecovered2","TotalDeaths2","New.Positive.Tests","Individuals.Reported","Individuals.Positive","X","Bremer.Rep","Bremer.Pos","Black.Hawk.Rep","Black.Hawk.Pos","Butler.Rep","Butler.Pos","Bremer.Pct","Black.Hawk.Pct","Butler.Pct","State.7Day","State.14Day","Bremer.7Day","Black.Hawk.7Day","Butler.7Day","Bremer.School","Black.Hawk.School","Butler.School","Total.Tests","Positive.Tests","PCR.Individuals","Antigen.Individuals","Positive.PCR.Individuals","Positive.Antigen.Individuals","Individuals.Tested","Individuals.Postive","Bremer.Total.Tests","Bremer.Positive.Tests","Bremer.PCR.Individuals","Bremer.Antigen.Individuals","Bremer.Positive.PCR.Individuals","Bremer.Positive.Antigen.Individuals","Bremer.Individuals.Tested","Bremer.Individuals.Postive","Butler.Total.Tests","Butler.Positive.Tests","Butler.PCR.Individuals","ButlerAntigen.Individuals","Positive.Butler.PCR.Individuals","Positive.ButlerAntigen.Individuals","Butler.Individuals.Tested","Butler.Individuals.Postive","Black.Hawk.Total.Tests","Black.Hawk.Positive.Tests","BH.PCR.Individuals","BH.Antigen.Individuals","Positive.BH.PCR.Individuals","Positive.BH.Antigen.Individuals","Positive.Positive.BH.PCR.Individuals","Positive.Positive.BH.Antigen.Individuals","time.change","np_day","New.Bremer.Positive.Tests"
"336",2021-02-16,1525232,329808,858342,5237,255,NA,57,40,64,13,10,-2,1195424,NA,NA,NA,511,9796,NA,NA,10307,20857,1.22261111377475,1,2616,1563,14710,2417,1462,13598,53,30,275,146,101,837,1,1,13,NA,NA,NA,NA,NA,35297,563,0.015950364,287,3,312,12,339,1,0.010452962,0.038461538,0.002949853,0.0399283,0.044588685,0.041445271,0.152671756,0.016648169,0.07,0.06,0.03,3880052,356320,NA,NA,NA,NA,1525232,329808,30220,2734,NA,NA,NA,NA,11179,2616,23736,1644,NA,NA,NA,NA,6475,1563,176204,16042,NA,NA,NA,NA,65075,14710,1,511,NA
"337",2021-02-17,1528641,330430,858342,5263,235,NA,52,44,50,9,7,21,1198211,NA,NA,NA,622,2787,NA,NA,3409,19898,1.18102321841391,26,2622,1565,14722,2426,1470,13672,53,30,277,143,95,773,1,1,19,NA,NA,NA,NA,NA,18313,707,0.038606454,176,7,158,12,198,4,0.039772727,0.075949367,0.02020202,0.03693132,0.042737481,0.03592233,0.126595745,0.01565762,0.07,0.05,0.03,3898365,357027,NA,NA,NA,NA,1528641,330430,30396,2741,NA,NA,NA,NA,11216,2622,23934,1648,NA,NA,NA,NA,6513,1565,177262,16060,NA,NA,NA,NA,65233,14722,1,622,NA
"338",2021-02-18,1531595,331036,858342,5306,252,NA,59,52,50,8,15,15,1200559,NA,NA,NA,606,2348,NA,NA,2954,19356,1.30192188468692,43,2628,1570,14733,2438,1473,13728,53,30,279,137,97,726,2,2,13,NA,NA,NA,NA,NA,15624,700,0.044802867,194,7,102,11,105,4,0.036082474,0.107843137,0.038095238,0.036086807,0.04192611,0.033027523,0.111235955,0.018927445,0.07,0.05,0.04,3913989,357727,NA,NA,NA,NA,1531595,331036,30590,2748,NA,NA,NA,NA,11241,2628,24039,1652,NA,NA,NA,NA,6537,1570,177900,16067,NA,NA,NA,NA,65335,14733,1,606,NA
"339",2021-02-19,1534374,331623,858342,5321,241,NA,60,43,44,6,7,13,1202751,NA,NA,NA,587,2192,NA,NA,2779,18706,1.28835667700203,15,2629,1570,14753,2443,1483,13791,53,30,280,133,87,682,1,1,11,NA,NA,NA,NA,NA,18154,624,0.03437259,168,2,70,20,106,2,0.011904762,0.285714286,0.018867925,0.035057526,0.041091213,0.036923077,0.115606936,0.017660044,0.06,0.05,0.03,3932143,358351,NA,NA,NA,NA,1534374,331623,30758,2750,NA,NA,NA,NA,11255,2629,24145,1650,NA,NA,NA,NA,6545,1570,178529,16087,NA,NA,NA,NA,65405,14753,1,587,NA
"340",2021-02-20,1536509,332183,858342,5336,238,NA,56,34,46,8,6,4,1204326,NA,NA,NA,560,1575,NA,NA,2135,18133,1.31252412728175,15,2629,1570,14766,2449,1488,13833,53,31,284,127,82,649,1,1,11,NA,NA,NA,NA,NA,14288,598,0.041853303,111,0,104,15,140,2,0,0.144230769,0.014285714,0.034637993,0.041522601,0.025278059,0.105200946,0.015005359,NA,NA,NA,3946431,358949,1300793,235716,276947,55236,1536509,332183,30869,2750,8750,2530,2039,590,11280,2629,24285,1654,4923,1634,1133,437,6557,1570,179180,16106,60928,4581,14013,755,65509,14768,1,560,NA
"341",2021-02-21,1538466,332574,858342,5336,229,NA,58,38,49,8,10,7,1205892,NA,NA,NA,391,1566,NA,NA,1957,18524,1.23623407471388,0,2629,1570,14766,2450,1490,13846,53,31,284,126,80,636,1,1,11,NA,NA,NA,NA,NA,6676,448,0.067106052,29,0,65,10,25,1,0,0.153846154,0.04,0.034092519,0.041133163,0.021298174,0.097647059,0.014909478,NA,NA,NA,3953107,359397,1302281,236185,277229,55345,1538466,332574,30898,2750,8758,2529,2039,590,11287,2629,24310,1653,4927,1635,1134,437,6562,1571,179566,16119,60996,4578,14022,756,65574,14778,1,391,NA
"342",2021-02-22,1538466,332574,858342,5336,222,NA,54,22,50,7,8,7,1205892,NA,NA,NA,0,0,NA,NA,0,17670,1.25636672325976,0,2629,1570,14766,2452,1491,13864,53,31,284,124,79,618,1,1,11,NA,NA,NA,NA,NA,0,0,NA,27,0,29,3,25,1,0,0.103448276,0.04,0.033594211,0.040802291,0.019153226,0.098809524,0.015991471,NA,NA,NA,3953107,359397,1302281,236185,277229,55345,1538466,332574,30925,2749,8764,2527,2040,590,11291,2630,24335,1655,4932,1635,1134,437,6567,1571,179751,16120,61022,4581,14025,756,65603,14781,1,0,NA
"343",2021-02-23,1542779,333373,858342,5374,227,NA,58,30,56,7,10,4,1209406,NA,NA,NA,799,3514,NA,NA,4313,17119,1.32601203341317,38,2629,1570,14766,2458,1494,13926,54,31,285,117,76,555,0,0,5,NA,NA,NA,NA,NA,22802,877,0.038461538,223,5,122,17,104,1,0.022421525,0.139344262,0.009615385,0.041248944,0.040510403,0.02262931,0.135384615,0.021337127,NA,NA,NA,3975909,360274,1305283,237496,277778,55595,1542779,333373,31148,2755,8776,2553,2040,592,11329,2632,24439,1653,4945,1644,1135,437,6589,1572,180493,16140,61120,4605,14041,757,65725,14798,1,799,NA
"344",2021-02-24,1546415,334106,858342,5415,233,NA,57,52,56,10,13,13,1212309,NA,NA,NA,733,2903,NA,NA,3636,17015,1.36937995885983,41,2632,1572,14799,2458,1496,13970,54,31,286,120,76,543,0,0,8,NA,NA,NA,NA,NA,18995,800,0.042116346,198,10,137,19,175,1,0.050505051,0.138686131,0.005714286,0.041920882,0.039157685,0.025263158,0.151033386,0.017647059,NA,NA,NA,3994904,361074,1307740,238675,278335,55771,1546415,334106,31346,2765,8768,2590,2043,594,11358,2637,24614,1654,4947,1650,1135,437,6597,1572,NA,16161,61258,4604,14059,758,65862,14817,1,733,NA
"345",2021-02-25,1550023,334759,858342,5415,227,NA,55,44,52,8,7,11,1215264,NA,NA,NA,653,2955,NA,NA,3608,16502,1.37559083747425,0,2637,1572,14817,2468,1497,14007,54,31,286,115,75,524,2,2,16,NA,NA,NA,NA,NA,17644,690,0.039106779,131,0,151,21,96,4,0,0.139072848,0.041666667,0.040960237,0.038319412,0.019165727,0.154867257,0.017883756,NA,NA,NA,4012548,361764,1310549,239474,278817,55942,1550023,334759,31477,2765,8794,2597,2046,595,11391,2641,24710,1659,4952,1657,1137,438,6609,1575,NA,16188,61483,4530,14081,757,66013,14838,1,653,NA
"346",2021-02-26,1553027,335404,858342,5438,196,NA,46,27,43,7,2,11,1217623,NA,NA,NA,645,2359,NA,NA,3004,16189,1.21069862252147,23,2641,1575,14839,2475,1501,14055,54,31,287,112,74,497,2,2,16,NA,NA,NA,NA,NA,16326,727,0.044530197,130,7,114,18,76,1,0.053846154,0.157894737,0.013157895,0.042799103,0.03860322,0.025912839,0.14265928,0.017160686,NA,NA,NA,4028874,362491,1312415,240612,279296,56108,1553027,335404,31607,2772,8809,2601,2052,596,11410,2648,24786,1658,4951,1666,1138,438,6617,1576,182927,16210,61574,4553,14097,759,66127,14856,1,645,NA
"347",2021-02-27,1555811,335964,858342,5463,181,NA,43,36,39,6,7,11,1219847,NA,NA,NA,560,2224,NA,NA,2784,15748,1.1493522987046,25,2648,1576,14857,2484,1504,14096,54,31,290,110,72,471,3,3,11,NA,NA,NA,NA,NA,13988,586,0.041893051,388,14,82,7,135,2,0.036082474,0.085365854,0.014814815,0.042807811,0.038406528,0.031971581,0.135714286,0.017295597,NA,NA,NA,4042862,363077,1314203,241608,279731,56233,1555811,335964,31995,2786,8776,2667,2062,600,11443,2662,24921,1661,4956,1669,1138,438,6625,1576,183427,16216,61640,4569,14105,758,66209,14863,1,560,NA
"348",2021-02-28,1557901,336310,858342,5470,196,NA,50,39,44,7,10,5,1221591,NA,NA,NA,346,1744,NA,NA,2090,15707,1.24785127650092,7,2662,1576,14863,2488,1504,14099,54,31,290,120,72,474,4,4,14,NA,NA,NA,NA,NA,6630,390,0.058823529,41,7,68,10,60,2,0.170731707,0.147058824,0.033333333,0.042226488,0.03783807,0.037785589,0.135135135,0.017883756,NA,NA,NA,4049492,363467,1315987,241914,280019,56291,1557901,336310,32036,2793,8788,2669,2066,600,11457,2666,24981,1663,4965,1669,1140,438,6634,1578,183707,16223,61679,4598,14114,759,66277,14873,1,346,NA
"349",2021-03-01,1559180,336504,858342,5471,197,NA,48,31,44,5,7,7,1222676,NA,NA,NA,194,1085,NA,NA,1279,15588,1.2637926610213,1,2666,1578,14874,2492,1504,14107,54,31,290,120,74,477,4,4,15,NA,NA,NA,NA,NA,4734,203,0.042881284,36,0,57,5,27,1,0,0.087719298,0.037037037,0.042257143,0.037776112,0.037489102,0.132694938,0.017830609,NA,NA,NA,4054226,363670,1317257,241923,280195,56309,1559180,336504,32072,2793,8797,2667,2070,600,11464,2670,25008,1664,4976,1666,1141,438,6642,1579,183962,16235,61757,4577,14119,759,66334,14878,1,194,NA
"350",2021-03-02,1561859,336966,858342,5472,209,NA,39,34,50,4,10,4,1224893,NA,NA,NA,462,2217,NA,NA,2679,14652,1.42642642642643,1,2670,1579,14878,2499,1511,14158,54,31,291,117,68,429,6,6,19,NA,NA,NA,NA,NA,14602,522,0.035748528,239,9,140,25,69,4,0.037656904,0.178571429,0.057971014,0.042165757,0.041700216,0.040412726,0.140186916,0.023510972,NA,NA,NA,4068828,364192,1318664,243195,280467,56499,1561859,336966,32311,2802,8745,2748,2074,601,11493,2675,25077,1668,4980,1670,1143,440,6650,1583,184773,16246,61844,4630,14134,769,66474,14903,1,462,NA
"351",2021-03-03,1565414,337594,858342,5498,191,NA,40,28,43,5,5,12,1227820,NA,NA,NA,628,2927,NA,NA,3555,14358,1.33026883967126,26,2674,1583,14903,2505,1514,14190,54,31,292,115,69,421,7,7,23,NA,NA,NA,NA,NA,19392,700,0.03609736,202,6,105,3,113,4,0.02970297,0.028571429,0.03539823,0.040914741,0.041426352,0.036846615,0.124128312,0.03125,NA,NA,NA,4088220,364892,1321134,244280,280943,56651,1565414,337594,32513,2808,8762,2755,2081,603,11517,2684,25190,1672,4986,1674,1146,440,6660,1586,185539,16261,61929,4650,14144,762,66579,14906,1,628,NA
"352",2021-03-04,1568803,338161,858342,5501,184,NA,39,30,40,4,5,8,1230642,NA,NA,NA,567,2822,NA,NA,3389,14086,1.30626153627715,3,2681,1586,14906,2505,1514,14190,54,31,292,122,72,424,7,7,23,NA,NA,NA,NA,NA,16963,603,0.035547957,214,5,107,22,136,1,0.023364486,0.205607477,0.007352941,0.040276353,0.04062889,0.0384,0.133729569,0.024350649,NA,NA,NA,4105183,365495,1323490,245313,281328,56833,1568803,338161,32727,2813,8753,2792,2083,606,11545,2689,25326,1673,4998,1679,1148,440,6677,1588,186409,16293,62039,4647,14163,765,66686,14928,1,567,NA
"353",2021-03-05,1572001,338671,858342,5536,176,NA,39,35,38,5,7,9,1233330,NA,NA,NA,510,2688,NA,NA,3198,14129,1.24566494444051,35,2694,1589,14931,2518,1518,14237,55,31,293,121,71,401,7,7,25,NA,NA,NA,NA,NA,16237,557,0.034304367,263,12,90,17,167,1,0.045627376,0.188888889,0.005988024,0.038478162,0.040686401,0.038322487,0.137134052,0.021216407,NA,NA,NA,4121420,366052,1325485,246516,281706,56965,1572001,338671,32990,2825,8755,2818,2087,611,11573,2698,25493,1674,5014,1680,1148,442,6694,1590,186817,16302,62110,4666,14180,765,66776,14945,1,510,NA
"354",2021-03-06,1575066,339209,858342,5549,170,NA,38,33,39,5,7,6,1235857,NA,NA,NA,538,2527,NA,NA,3065,13878,1.22496036892924,13,2698,1590,14945,2522,1519,14259,55,31,293,121,71,393,7,7,27,NA,NA,NA,NA,NA,15104,578,0.038268008,167,7,32,17,161,3,0.041916168,0.53125,0.01863354,0.037934274,0.040406538,0.039586919,0.165275459,0.021828104,NA,NA,NA,4136524,366630,1327323,247743,282082,57127,1575066,339209,33157,2832,8768,2831,2092,612,11599,2704,25654,1677,5015,1694,1149,444,6709,1593,187719,16319,62120,4688,14194,768,66808,14962,1,538,NA
"355",2021-03-07,1576999,339546,858342,5552,167,NA,35,31,34,3,6,11,1237453,NA,NA,NA,337,1596,NA,NA,1933,13939,1.19807733696822,3,2698,1590,14945,2525,1521,14274,55,31,293,118,69,378,7,7,27,NA,NA,NA,NA,NA,6877,418,0.060782318,44,4,122,9,19,0,0.090909091,0.073770492,0,0.03813266,0.040206207,0.036909871,0.15007657,0.020231214,NA,NA,NA,4143401,367048,1329005,247994,282361,57185,1576999,339546,33201,2836,8775,2832,2093,612,11607,2705,25673,1677,5017,1693,1149,444,6710,1593,188000,16332,62231,4699,14200,771,66930,14971,1,337,NA
"356",2021-03-08,1578111,339694,858342,5558,168,NA,37,29,31,3,3,6,1238417,NA,NA,NA,148,964,NA,NA,1112,13818,1.21580547112462,6,2704,1593,14963,2528,1521,14277,55,31,294,121,72,392,7,7,27,NA,NA,NA,NA,NA,3809,119,0.031241796,27,3,50,2,17,3,0.111111111,0.04,0.176470588,0.037608621,0.040030293,0.039792388,0.147058824,0.023460411,NA,NA,NA,4147210,367167,1330033,248078,282487,57207,1578111,339694,33228,2833,8791,2830,2094,612,11621,2706,25690,1680,5022,1692,1149,444,6714,1593,188230,16336,62281,4699,14203,770,66980,14973,1,148,NA
"357",2021-03-09,1580961,340208,858342,5559,179,NA,33,28,33,3,3,1,1240753,NA,NA,NA,514,2336,NA,NA,2850,13118,1.36453727702394,1,2706,1593,14972,2539,1523,14312,55,31,294,112,70,366,4,4,46,NA,NA,NA,NA,NA,19809,584,0.029481549,228,4,111,10,129,1,0.01754386,0.09009009,0.007751938,0.036245684,0.039124065,0.03580786,0.129659643,0.017520216,NA,NA,NA,4167019,367751,1331706,249255,282872,57336,1580961,340208,33456,2840,8819,2836,2100,613,11655,2713,25819,1681,5028,1697,1149,444,6725,1593,188888,16347,62346,4745,14212,771,67091,14983,1,514,NA
"358",2021-03-10,1585012,341007,858342,5574,173,NA,39,33,32,5,7,8,1244005,NA,NA,NA,799,3252,NA,NA,4051,13157,1.31488941248005,15,2713,1593,14983,2539,1524,14343,55,32,294,119,69,346,4,4,45,NA,NA,NA,NA,NA,19136,884,0.046195652,202,6,129,32,153,0,0.02970297,0.248062016,0,0.038219227,0.039534434,0.03580786,0.170046802,0.011508951,NA,NA,NA,4186155,368635,1334117,250895,283392,57615,1585012,341007,33658,2846,8840,2842,2103,613,11682,2716,25972,1681,5037,1700,1149,444,6737,1593,190029,16382,62415,4805,14241,774,67220,15015,1,799,NA
"359",2021-03-11,1587918,341422,858342,5601,166,NA,42,29,28,5,5,9,1246496,NA,NA,NA,415,2491,NA,NA,2906,12825,1.2943469785575,27,2716,1593,15015,2546,1527,14364,56,32,295,114,66,356,5,5,45,NA,NA,NA,NA,NA,16087,447,0.027786411,208,6,127,14,99,1,0.028846154,0.11023622,0.01010101,0.036956903,0.03857792,0.036874451,0.15279879,0.012080537,NA,NA,NA,4202242,369082,1336430,251488,283690,57732,1587918,341422,33866,2852,8843,2863,2104,616,11706,2720,26071,1682,5041,1710,1150,444,6751,1594,190767,16392,62563,4784,14254,775,67347,15029,1,415,NA
"360",2021-03-12,1591292,341910,858342,5621,168,NA,36,41,33,5,8,3,1249382,NA,NA,NA,488,2886,NA,NA,3374,12656,1.32743362831858,20,2720,1594,15029,2547,1527,14391,56,32,295,117,67,343,5,5,41,NA,NA,NA,NA,NA,15933,546,0.034268499,226,2,102,13,155,2,0.008849558,0.12745098,0.012903226,0.03695933,0.037701861,0.029038113,0.144130758,0.013642565,NA,NA,NA,4218175,369628,1338339,252953,284006,57904,1591292,341910,34092,2854,8853,2881,2105,616,11734,2721,26226,1684,5061,1706,1150,446,6767,1596,191279,16410,62628,4821,14265,777,67449,15042,1,488,NA
"361",2021-03-13,1594766,342462,858342,5630,182,NA,41,40,29,5,1,5,1252304,NA,NA,NA,552,2922,NA,NA,3474,12611,1.44318452144953,9,2721,1596,15043,2549,1529,14411,56,32,295,116,67,337,5,5,42,NA,NA,NA,NA,NA,16718,592,0.035410934,257,6,165,22,176,1,0.023346304,0.133333333,0.005681818,0.036495237,0.037197119,0.026006711,0.126550868,0.010695187,NA,NA,NA,4234893,370220,1340959,253807,284438,58024,1594766,342462,34349,2860,8874,2896,2110,619,11770,2729,26402,1685,5068,1716,1151,447,6784,1598,192254,16435,62780,4834,14285,779,67614,15064,1,552,NA
"362",2021-03-14,1596312,342743,858342,5633,160,NA,40,29,25,5,4,8,1253569,NA,NA,NA,281,1265,NA,NA,1546,12681,1.26173014746471,3,2729,1598,15066,2551,1529,14413,56,32,295,122,69,358,5,5,42,NA,NA,NA,NA,NA,5150,309,0.06,27,1,36,13,15,0,0.037037037,0.361111111,0,0.036019536,0.037060944,0.023829787,0.147222222,0.010752688,NA,NA,NA,4240043,370529,1342286,254026,284682,58061,1596312,342743,34376,2861,8880,2894,2109,619,11774,2728,26417,1685,5072,1717,1151,447,6789,1598,192383,16448,62812,4838,14298,779,67650,15077,1,281,NA
"363",2021-03-15,1596500,342777,858342,5641,161,NA,42,26,25,5,5,5,1253723,NA,NA,NA,34,154,NA,NA,188,12520,1.28594249201278,8,2728,1598,15078,2556,1529,14418,56,32,296,116,69,364,5,5,42,NA,NA,NA,NA,NA,547,47,0.085923218,24,3,29,4,15,0,0.125,0.137931034,0,0.036506747,0.037056513,0.023890785,0.154506438,0.006738544,NA,NA,NA,4240590,370576,1342462,254038,284709,58068,1596500,342777,34400,2864,8887,2894,2111,619,11781,2730,26432,1681,5074,1718,1151,447,6792,1598,192527,16453,62832,4847,14301,780,67679,15081,1,34,NA
"364",2021-03-16,1600033,343347,858342,5642,162,NA,40,33,24,4,5,6,1256686,NA,NA,NA,570,2963,NA,NA,3533,12336,1.31322957198444,1,2729,1598,15083,2563,1532,14434,56,32,296,110,66,353,4,4,36,NA,NA,NA,NA,NA,18632,606,0.032524689,92,4,96,7,75,0,0.043478261,0.072916667,0,0.037211371,0.036713342,0.027027027,0.153508772,0.005813953,NA,NA,NA,4259222,371182,1344762,255271,285102,58245,1600033,343347,34492,2868,8894,2940,2112,622,11834,2734,26507,1683,5077,1727,1151,447,6804,1598,193029,16457,62912,4863,14308,780,67775,15088,1,570,NA
"365",2021-03-17,1602903,343909,858342,5657,161,NA,41,37,23,3,5,6,1258994,NA,NA,NA,562,2308,NA,NA,2870,12316,1.30724261123741,15,2734,1598,15089,2567,1536,14445,57,32,297,110,62,347,7,7,40,NA,NA,NA,NA,NA,15622,588,0.037639227,95,2,82,6,40,0,0.021052632,0.073170732,0,0.035348239,0.036854853,0.02583423,0.124018838,0.006956522,NA,NA,NA,4274844,371770,1346395,256508,285482,58427,1602903,343909,34587,2866,8896,2914,2113,623,11810,2736,26547,1685,5074,1736,1151,447,6810,1598,193467,16468,62986,4871,14311,783,67857,15094,1,562,NA
"366",2021-03-18,1603434,344004,858342,5666,171,NA,41,27,25,3,4,2,1259430,NA,NA,NA,95,436,NA,NA,531,11818,1.44694533762058,9,2734,1598,15089,2569,1536,14466,57,32,298,108,62,325,5,5,42,NA,NA,NA,NA,NA,2406,106,0.044056525,38,2,82,12,59,2,0.052631579,0.146341463,0.033898305,0.03724936,0.037084392,0.026350461,0.130067568,0.009345794,NA,NA,NA,4277250,371876,1346773,256661,285546,58458,1603434,344004,34625,2870,8905,2915,2113,624,11820,2737,26606,1687,5078,1736,1153,447,6814,1600,193889,16477,62068,4845,14322,784,66913,15106,1,95,NA
"367",2021-03-19,1608290,344910,858342,5672,189,NA,44,45,32,3,10,3,1263380,NA,NA,NA,906,3950,NA,NA,4856,12108,1.5609514370664,6,2738,1600,15109,2571,1536,14486,57,32,298,110,64,325,5,5,42,NA,NA,NA,NA,NA,26715,992,0.037132697,317,3,210,21,272,1,0.009463722,0.1,0.003676471,0.037766639,0.037338738,0.024705882,0.121428571,0.006134969,NA,NA,NA,4303965,372868,1350247,258043,286263,58647,1608290,344910,34942,2873,8925,2931,2115,625,11856,2740,26878,1688,5091,1745,1154,450,6836,1604,194588,16499,63198,4869,14340,787,68067,15127,1,906,NA
"368",2021-03-20,1610928,345357,858342,5672,172,NA,38,27,25,4,3,10,1265571,NA,NA,NA,447,2191,NA,NA,2638,12042,1.42833416376017,0,2739,1604,15128,2573,1536,14504,57,32,298,109,68,326,6,6,44,NA,NA,NA,NA,NA,12165,491,0.040361693,176,2,79,10,56,4,0.011363636,0.126582278,0.071428571,0.038640029,0.037465341,0.022106632,0.118892508,0.013157895,NA,NA,NA,4316130,373359,1351972,258956,286567,58790,1610928,345357,35118,2871,8924,2974,2115,625,11898,2740,26934,1692,5095,1749,1155,450,6844,1605,195081,16512,63260,4886,14350,787,68146,15137,1,447,NA
"369",2021-03-21,1612715,345674,858342,5674,174,NA,41,40,27,3,9,7,1267041,NA,NA,NA,317,1470,NA,NA,1787,12142,1.43304233239993,2,2740,1605,15137,2575,1536,14508,57,32,298,108,69,331,6,6,44,NA,NA,NA,NA,NA,5818,371,0.063767618,28,1,63,8,24,1,0.035714286,0.126984127,0.041666667,0.039081863,0.03742432,0.022077922,0.106084243,0.014787431,NA,NA,NA,4321948,373730,1353469,259246,286838,58836,1612715,345674,35146,2874,8940,2969,2115,625,11909,2740,26958,1691,5100,1749,1155,450,6849,1605,195403,16521,63311,4898,14357,788,68209,15145,1,317,NA
"370",2021-03-22,1613884,345814,858342,5675,171,NA,37,23,28,3,4,3,1268070,NA,NA,NA,140,1029,NA,NA,1169,12082,1.41532858798212,1,2740,1605,15147,2575,1537,14509,57,32,299,108,68,339,6,6,44,NA,NA,NA,NA,NA,4004,140,0.034965035,31,1,57,3,16,1,0.032258065,0.052631579,0.0625,0.038588599,0.037500979,0.019305019,0.100149477,0.016605166,NA,NA,NA,4325952,373870,1354573,259311,286966,58848,1613884,345814,35177,2875,8953,2966,2116,625,11919,2741,26974,1691,5103,1749,1156,450,6852,1606,195627,16525,63369,4897,14360,788,68266,15148,1,140,NA
"371",2021-03-23,1616588,346303,858342,5675,185,NA,37,28,36,3,11,3,1270285,NA,NA,NA,489,2215,NA,NA,2704,11758,1.57339683619663,0,2741,1606,15151,2576,1537,14527,57,32,299,108,69,325,7,7,20,NA,NA,NA,NA,NA,16034,530,0.033054759,99,3,112,12,277,1,0.03030303,0.107142857,0.003610108,0.038881639,0.038001452,0.017857143,0.105109489,0.01344086,NA,NA,NA,4341986,374400,1356103,260485,287272,59031,1616588,346303,35276,2878,8958,2980,2116,626,11938,2742,27251,1693,5102,1767,1157,450,6869,1607,196258,16538,63472,4906,14372,788,68378,15160,1,489,NA
"372",2021-03-24,1620048,347061,858342,5683,190,NA,40,36,37,3,13,12,1272987,NA,NA,NA,758,2702,NA,NA,3460,11916,1.59449479691172,8,2743,1607,15162,2582,1539,14546,57,32,300,104,68,316,8,8,31,NA,NA,NA,NA,NA,18081,789,0.043636967,156,2,147,23,59,2,0.012820513,0.156462585,0.033898305,0.040118278,0.037685726,0.016568047,0.118666667,0.015727392,NA,NA,NA,4360067,375189,1358609,261439,287850,59211,1620048,347061,35432,2876,8976,2991,2121,626,11967,2747,27310,1695,5106,1770,1157,450,6876,1607,197208,16569,63599,4926,14394,789,68525,15183,1,758,NA
"373",2021-03-25,1620656,347203,858342,5689,207,NA,46,46,38,7,8,7,1273453,NA,NA,NA,142,466,NA,NA,608,11506,1.7990613592908,6,2747,1607,15184,2591,1541,14563,57,32,300,99,66,321,9,9,29,NA,NA,NA,NA,NA,2136,177,0.082865169,190,2,116,12,94,0,0.010526316,0.103448276,0,0.041081539,0.039284576,0.014042126,0.113520408,0.012531328,NA,NA,NA,4362203,375366,1358946,261710,287932,59271,1620656,347203,35622,2880,8976,3014,2120,627,11990,2747,27404,1695,5107,1776,1158,450,6883,1608,197836,16575,63716,4925,14403,792,68641,15195,1,142,NA
"374",2021-03-26,1626136,348611,858342,5708,207,NA,46,38,36,7,9,11,1277525,NA,NA,NA,1408,4072,NA,NA,5480,12087,1.71258376768429,19,2747,1608,15194,2602,1540,14575,57,32,300,88,68,319,7,7,30,NA,NA,NA,NA,NA,27353,1464,0.053522466,116,3,90,16,106,3,0.025862069,0.177777778,0.028301887,0.046289914,0.042023328,0.01758794,0.126506024,0.018987342,NA,NA,NA,4389556,376830,1362878,263258,288896,59715,1626136,348611,35738,2883,8987,3029,2122,629,12016,2751,27510,1698,5139,1758,1160,449,6897,1609,198273,16592,63784,4947,14417,794,68731,15211,1,1408,NA
"375",2021-03-27,1628838,349141,858342,5716,201,NA,43,33,36,7,9,9,1279697,NA,NA,NA,530,2172,NA,NA,2702,12157,1.65336842971128,8,2751,1609,15211,2608,1543,14586,57,32,300,86,66,325,7,7,32,NA,NA,NA,NA,NA,13617,587,0.04310788,263,5,107,15,119,1,0.019011407,0.140186916,0.008403361,0.046620636,0.042768006,0.019252548,0.128612717,0.01294964,NA,NA,NA,4403173,377417,1364734,264104,289302,59839,1628838,349141,36001,2888,8994,3044,2123,630,12038,2753,27629,1697,5142,1763,1160,449,6905,1609,198822,16609,63879,4959,14432,794,68838,15226,1,530,NA
"376",2021-03-28,1630912,349598,858342,5718,192,NA,42,35,24,3,3,15,1281314,NA,NA,NA,457,1617,NA,NA,2074,12427,1.54502293393418,2,2753,1609,15224,2611,1543,14590,57,33,300,85,66,334,7,7,32,NA,NA,NA,NA,NA,6989,479,0.068536271,15,3,59,15,14,1,0.2,0.254237288,0.071428571,0.047226064,0.043304981,0.02183908,0.139534884,0.013138686,NA,NA,NA,4410162,377896,1367442,263470,289689,59909,1630912,349598,36016,2891,9002,3041,2125,630,12043,2755,27643,1696,5143,1763,1160,449,6906,1609,199037,16626,63930,4967,14445,796,68897,15241,1,457,NA
